espn_id,name,full_name,jersey,position,position_name,height,weight,age,team_name,team_abbr,headshot_url,experience_years,salary,years_remaining,draft_year,draft_round,draft_selection
5044385,Leonard Miller,Leonard Miller,11,F,Forward,"6' 10""",220 lbs,22.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/5044385.png,3.0,2406205.0,1.0,2023.0,2.0,33.0
4432822,Isaac Okoro,Isaac Okoro,35,F,Forward,"6' 4""",225 lbs,25.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4432822.png,6.0,11814815.0,1.0,2020.0,1.0,5.0
2595516,Norman Powell,Norman Powell,,G,Guard,"6' 4""",215 lbs,33.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/2595516.png,11.0,,,2015.0,2.0,46.0
4397189,Jalen Smith,Jalen Smith,25,F,Forward,"6' 8""",215 lbs,26.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4397189.png,6.0,9428571.0,1.0,2020.0,1.0,10.0
4848625,Dailyn Swain,Dailyn Swain,5,G,Guard,"6' 7""",211 lbs,21.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4848625.png,0.0,,,2026.0,1.0,15.0
4431687,Patrick Williams,Patrick Williams,44,F,Forward,"6' 6""",215 lbs,25.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4431687.png,6.0,18000000.0,3.0,2020.0,1.0,4.0
5095151,Caleb Wilson,Caleb Wilson,8,F,Forward,"6' 9""",211 lbs,20.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/5095151.png,0.0,,,2026.0,1.0,4.0
4017844,Guerschon Yabusele,Guerschon Yabusele,28,F,Forward,"6' 7""",265 lbs,30.0,Chicago Bulls,CHI,https://a.espncdn.com/i/headshots/nba/players/full/4017844.png,4.0,,,2016.0,1.0,16.0
4066328,Jarrett Allen,Jarrett Allen,31,C,Center,"6' 9""",243 lbs,28.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/4066328.png,9.0,28000000.0,3.0,2017.0,1.0,22.0
3934723,Thomas Bryant,Thomas Bryant,3,C,Center,"6' 9""",248 lbs,29.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/3934723.png,9.0,,,2017.0,2.0,42.0
