PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH,SEASON
1629004,"Mykhailiuk, Svi",Svi Mykhailiuk,1,2018,2026,sviatoslav_mykhailiuk,svi_mykhailiuk,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,01,2025-26
1631250,"Nance, Pete",Pete Nance,1,2023,2026,pete_nance,pete_nance,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,11,2025-26
1626204,"Nance Jr., Larry",Larry Nance Jr.,1,2015,2026,larry_nance_jr,larry_nance_jr,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00,2025-26
1641761,"Nelson, Grant",Grant Nelson,0,2025,2026,grant_nelson,grant_nelson,0,,,,,,Y,11,2025-26
1629614,"Nembhard, Andrew",Andrew Nembhard,1,2022,2026,andrew_nembhard,andrew_nembhard,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,00,2025-26
1642948,"Nembhard, Ryan",Ryan Nembhard,1,2025,2026,ryan_nembhard,ryan_nembhard,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,11,2025-26
1630174,"Nesmith, Aaron",Aaron Nesmith,1,2020,2026,aaron_nesmith,aaron_nesmith,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,01,2025-26
1642854,"Newell, Asa",Asa Newell,1,2025,2026,tmp_asa_newell,asa_newell,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,11,2025-26
1641803,"Newton, Tristen",Tristen Newton,1,2024,2025,tristen_newton,tristen_newton,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,11,2025-26
1642949,"Niederhäuser, Yanic Konan",Yanic Konan Niederhäuser,1,2025,2026,yanic_konan_niederhauser,yanic_konan_niederhäuser,1610612746,LA,Clippers,LAC,clippers,clippers,Y,11,2025-26
1630192,"Nnaji, Zeke",Zeke Nnaji,1,2020,2026,zeke_nnaji,zeke_nnaji,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00,2025-26
203994,"Nurkić, Jusuf",Jusuf Nurkić,1,2014,2026,jusuf_nurkic,jusuf_nurkić,1610612762,Utah,Jazz,UTA,jazz,jazz,Y,00,2025-26
1626220,"O'Neale, Royce",Royce O'Neale,1,2017,2026,royce_o'neale,royce_oneale,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01,2025-26
1642490,"Oduro, Josh",Josh Oduro,1,2025,2025,josh_oduro,josh_oduro,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,11,2025-26
1643253,"Okani, Toby",Toby Okani,0,2025,2025,toby_okani,toby_okani,0,,,,,,Y,11,2025-26
1629006,"Okogie, Josh",Josh Okogie,1,2018,2026,josh_okogie,josh_okogie,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,00,2025-26
1630168,"Okongwu, Onyeka",Onyeka Okongwu,1,2020,2026,onyeka_okongwu,onyeka_okongwu,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,00,2025-26
1630171,"Okoro, Isaac",Isaac Okoro,1,2020,2026,isaac_okoro,isaac_okoro,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00,2025-26
1642950,"Olbrich, Lachlan",Lachlan Olbrich,1,2025,2025,lachlan_olbrich,lachlan_olbrich,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11,2025-26
203482,"Olynyk, Kelly",Kelly Olynyk,1,2013,2025,kelly_olynyk,kelly_olynyk,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,00,2025-26
1641807,"Omier, Norchad",Norchad Omier,1,2025,2026,norchard_omier,norchad_omier,1610612746,LA,Clippers,LAC,clippers,clippers,Y,11,2025-26
1626162,"Oubre Jr., Kelly",Kelly Oubre Jr.,1,2015,2026,kelly_oubre_jr,kelly_oubre_jr,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00,2025-26
101108,"Paul, Chris",Chris Paul,0,2005,2025,chris_paul,chris_paul,0,,,,,,Y,00,2025-26
1626166,"Payne, Cameron",Cameron Payne,0,2015,2025,cameron_payne,cameron_payne,0,,,,,,Y,01,2025-26
1627780,"Payton II, Gary",Gary Payton II,1,2016,2026,gary_payton_ii,gary_payton_ii,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,01,2025-26
1642877,"Peavy, Micah",Micah Peavy,1,2025,2026,micah_peavy,micah_peavy,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00,2025-26
1642951,"Pedulla, Sean",Sean Pedulla,1,2025,2026,sean_pedulla,sean_pedulla,1610612746,LA,Clippers,LAC,clippers,clippers,Y,11,2025-26
1642869,"Penda, Noah",Noah Penda,1,2025,2026,noah_penda,noah_penda,1610612753,Orlando,Magic,ORL,magic,magic,Y,11,2025-26
1643007,"Peter, Taelon",Taelon Peter,1,2025,2026,taelon_peter,taelon_peter,1610612754,Indiana,Pacers,IND,pacers,pacers,Y,11,2025-26
1641809,"Peterson, Drew",Drew Peterson,0,2023,2025,drew_peterson,drew_peterson,0,,,,,,Y,11,2025-26
1641763,"Phillips, Julian",Julian Phillips,1,2023,2026,julian_phillips,julian_phillips,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,11,2025-26
1629618,"Pickett, Jalen",Jalen Pickett,1,2023,2026,jalen_pickett,jalen_pickett,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,01,2025-26
1630590,"Pippen Jr., Scotty",Scotty Pippen Jr.,1,2022,2026,scotty_pippen_jr,scotty_pippen_jr,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,01,2025-26
1631342,"Plowden, Daeqwon",Daeqwon Plowden,1,2024,2026,daeqwon_plowden,daeqwon_plowden,1610612758,Sacramento,Kings,SAC,kings,kings,Y,11,2025-26
203486,"Plumlee, Mason",Mason Plumlee,1,2013,2025,mason_plumlee,mason_plumlee,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01,2025-26
